,aggression,toxicity
0,0.8,0.8
1,1.0,1.0
2,1.0,1.0
3,0.1111111111111111,1.0
4,1.0,0.6
5,1.0,0.8
6,1.0,0.4
7,0.6,0.8
8,1.0,0.6
9,0.8,1.0
10,1.0,1.0
11,1.0,1.0
12,0.5555555555555556,0.8
13,1.0,0.8
14,1.0,1.0
15,1.0,0.8
16,1.0,1.0
17,0.2,1.0
18,1.0,0.8
19,1.0,1.0
20,1.0,1.0
21,1.0,1.0
22,0.6666666666666666,1.0
23,1.0,1.0
24,1.0,1.0
25,1.0,1.0
26,0.8947368421052632,1.0
27,0.875,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,0.6,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,0.7777777777777778,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,0.8
40,1.0,1.0
41,1.0,1.0
42,0.5789473684210527,0.8
43,0.6842105263157895,0.8
44,1.0,1.0
45,0.7777777777777778,0.8
46,1.0,1.0
47,1.0,0.8
48,0.3,0.8
49,0.7777777777777778,1.0
50,0.7777777777777778,1.0
51,0.7894736842105263,1.0
52,0.05263157894736842,1.0
53,0.7894736842105263,1.0
54,1.0,0.6
55,0.8,0.8
56,1.0,1.0
57,1.0,1.0
58,1.0,1.0
59,0.6,1.0
60,0.1111111111111111,1.0
61,0.8,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,0.8
66,0.4,0.45454545454545453
67,1.0,1.0
68,0.8947368421052632,0.6
69,1.0,1.0
70,1.0,0.8
71,1.0,1.0
72,1.0,1.0
73,1.0,0.8
74,1.0,1.0
75,1.0,1.0
76,0.9,0.8
77,1.0,1.0
78,1.0,1.0
79,1.0,0.6
80,1.0,1.0
81,1.0,1.0
82,1.0,0.2
83,1.0,1.0
84,0.5555555555555556,1.0
85,1.0,1.0
86,0.8,0.6
87,1.0,1.0
88,1.0,1.0
89,1.0,1.0
90,1.0,1.0
91,1.0,1.0
92,0.8,1.0
93,1.0,0.8
94,0.3333333333333333,0.8
95,0.8,0.8
96,1.0,1.0
97,1.0,0.6
98,0.5555555555555556,0.8
99,1.0,0.8
100,1.0,0.8
101,1.0,1.0
102,0.3333333333333333,1.0
103,1.0,0.8
104,1.0,0.0
105,0.7777777777777778,1.0
106,1.0,1.0
107,0.8947368421052632,1.0
108,1.0,1.0
109,1.0,1.0
110,0.1,0.8
111,0.8947368421052632,0.8
112,0.8947368421052632,1.0
113,1.0,1.0
114,1.0,1.0
115,0.7777777777777778,1.0
116,0.6842105263157895,1.0
117,1.0,0.8
118,1.0,1.0
119,1.0,1.0
120,0.8,1.0
121,0.6,1.0
