,worker_id,gender,english_first_language,age_group,education,ratio
0,833,female,0,45-60,bachelors,0.1950261780104712
1,1072,male,0,30-45,bachelors,0.2731182795698925
2,872,male,0,18-30,hs,0.072992700729927
3,2116,male,0,30-45,professional,0.2857142857142857
4,453,male,0,30-45,hs,0.18456375838926176
5,164,female,0,30-45,bachelors,0.27191679049034173
6,301,male,0,18-30,professional,0.0963375796178344
7,77,female,1,30-45,some,0.11647727272727272
8,865,female,1,30-45,doctorate,0.28078817733990147
9,715,male,0,18-30,bachelors,0.0839041095890411
10,1852,male,0,30-45,hs,0.16083916083916083
11,344,male,0,30-45,hs,0.22743682310469315
12,916,male,0,30-45,hs,0.06367041198501873
13,407,female,0,18-30,masters,0.06502242152466367
14,2912,male,1,18-30,professional,0.2857142857142857
15,10,male,0,30-45,bachelors,0.07795473595976529
16,177,male,0,45-60,hs,0.17699115044247787
17,1704,male,0,30-45,professional,0.056022408963585436
18,272,male,0,18-30,bachelors,0.18548387096774194
19,1343,female,1,45-60,bachelors,0.18562874251497005
20,3038,female,0,,masters,0.6481481481481481
21,156,male,0,45-60,hs,0.14044213263979194
22,1042,male,0,18-30,hs,0.050359712230215826
23,2364,male,0,18-30,professional,0.19109947643979058
24,461,male,0,30-45,masters,0.2640845070422535
25,26,male,0,30-45,professional,0.09328683522231909
26,3630,male,0,30-45,masters,0.3058823529411765
27,168,female,0,30-45,hs,0.11910112359550562
28,606,female,0,45-60,bachelors,0.24457831325301205
29,150,male,0,30-45,masters,0.2308584686774942
30,3422,male,0,45-60,professional,0.3294663573085847
31,1689,male,0,18-30,masters,0.078125
32,1228,male,0,18-30,bachelors,0.010869565217391304
33,1213,female,0,45-60,hs,0.06531531531531531
34,1243,female,0,18-30,bachelors,0.04419889502762431
35,1678,male,0,30-45,hs,0.11290322580645161
36,11,male,0,30-45,professional,0.11728813559322034
37,81,male,0,18-30,professional,0.22113022113022113
38,163,female,0,30-45,hs,0.26956521739130435
39,1607,male,0,18-30,bachelors,0.041025641025641026
40,2688,male,0,45-60,bachelors,0.14531548757170173
41,2231,male,0,30-45,hs,0.2
42,1890,male,0,18-30,hs,0.060498220640569395
43,217,male,0,18-30,bachelors,0.13675832127351664
44,1152,male,0,30-45,hs,0.11877394636015326
45,1475,male,0,18-30,bachelors,0.45041816009557945
46,382,male,0,30-45,bachelors,0.12462908011869436
47,3493,male,0,18-30,bachelors,0.23976608187134502
48,452,male,0,45-60,masters,0.22816593886462883
49,3618,male,0,45-60,bachelors,0.4111111111111111
50,3773,male,0,45-60,masters,0.6
51,1062,male,0,30-45,hs,0.2420749279538905
52,1117,female,0,30-45,professional,0.20516962843295639
53,2699,female,0,18-30,masters,0.1124031007751938
54,365,male,0,18-30,hs,0.07282051282051281
55,445,male,0,18-30,hs,0.06041666666666667
56,876,male,0,18-30,some,0.052054794520547946
57,1110,female,0,Under 18,hs,0.04483837330552659
58,3629,male,0,18-30,bachelors,0.03389830508474576
59,1093,male,0,18-30,some,0.008417508417508417
60,208,female,1,30-45,hs,0.23953488372093024
61,1991,female,0,30-45,bachelors,0.2978395061728395
62,4026,male,0,30-45,hs,0.6
63,1622,female,0,45-60,bachelors,0.17827298050139276
64,51,male,0,30-45,hs,0.11241610738255034
65,3173,female,0,30-45,professional,0.5
66,877,male,0,18-30,bachelors,0.040257648953301126
67,2319,male,0,30-45,hs,0.34516129032258064
68,1223,male,0,30-45,hs,0.22682119205298013
69,475,male,1,18-30,bachelors,0.152191894127378
70,840,female,0,18-30,professional,0.12060301507537688
71,3677,female,0,18-30,bachelors,0.2
72,993,female,0,18-30,professional,0.06666666666666667
73,1006,male,0,30-45,bachelors,0.08146067415730338
74,34,female,0,30-45,bachelors,0.0855085508550855
75,151,male,0,30-45,hs,0.14749262536873156
76,1556,female,0,30-45,bachelors,0.17804551539491298
77,1667,male,0,30-45,professional,0.3329048843187661
78,1951,male,0,18-30,bachelors,0.07930367504835589
79,89,male,1,18-30,bachelors,0.11490125673249552
80,578,female,0,30-45,hs,0.22707423580786026
81,3821,female,0,18-30,bachelors,0.06451612903225806
82,1743,male,0,18-30,bachelors,0.2
83,294,male,0,18-30,some,0.21506442021803765
84,12,male,0,30-45,professional,0.30561330561330563
85,261,male,0,18-30,masters,0.07334525939177101
86,328,male,0,18-30,bachelors,0.09949531362653208
87,384,male,0,18-30,masters,0.1880466472303207
88,2334,male,1,30-45,bachelors,0.3333333333333333
89,2674,female,1,45-60,hs,0.3226837060702875
90,2982,female,0,18-30,bachelors,0.020202020202020204
91,3221,male,0,18-30,bachelors,0.2261904761904762
92,180,male,0,18-30,bachelors,0.16174582798459564
93,311,male,0,18-30,bachelors,0.08823529411764706
94,2474,female,0,18-30,bachelors,0.047619047619047616
95,1135,male,0,30-45,bachelors,0.16165413533834586
96,1762,female,0,30-45,bachelors,0.14760147601476015
97,480,female,0,30-45,masters,0.21040974529346623
98,2569,male,1,30-45,masters,0.14285714285714285
99,1056,female,0,30-45,bachelors,0.09242144177449169
100,587,female,0,18-30,professional,0.3364485981308411
101,2944,female,0,18-30,masters,0.6540084388185654
102,2493,male,0,18-30,masters,0.033426183844011144
103,1377,male,0,45-60,hs,0.18719211822660098
104,647,male,0,18-30,hs,0.17966903073286053
105,1889,male,0,18-30,bachelors,0.1797752808988764
106,656,male,0,45-60,hs,0.28735632183908044
107,483,male,0,30-45,professional,0.15029761904761904
108,1156,male,0,30-45,hs,0.13333333333333333
109,1599,male,0,18-30,hs,0.09649122807017543
110,273,male,0,18-30,bachelors,0.1876484560570071
111,2876,female,0,30-45,bachelors,0.5151515151515151
112,45,male,0,18-30,bachelors,0.17955801104972377
113,957,female,0,30-45,bachelors,0.07647740440324449
114,2869,male,0,30-45,masters,0.2420749279538905
115,672,female,1,30-45,bachelors,0.3088042049934297
116,3188,male,0,30-45,bachelors,0.1702127659574468
117,663,female,0,30-45,bachelors,0.24469067405355494
118,2281,male,0,30-45,hs,0.1594488188976378
119,680,male,0,30-45,bachelors,0.09615384615384616
120,140,male,0,18-30,bachelors,0.19343065693430658
121,2939,male,1,45-60,bachelors,0.11515151515151516
122,1007,male,0,18-30,professional,0.2803738317757009
123,907,male,0,30-45,professional,0.07220216606498195
124,5,male,0,18-30,bachelors,0.10689655172413794
125,1068,male,0,18-30,masters,0.1254681647940075
126,1424,male,0,45-60,professional,0.47808764940239046
127,3759,female,0,30-45,masters,0.5
128,1012,male,1,30-45,hs,0.1003627569528416
129,836,female,0,30-45,masters,0.4563662374821173
130,1295,female,0,30-45,hs,0.0913604766633565
131,122,male,0,18-30,bachelors,0.06210191082802548
132,1086,male,0,30-45,bachelors,0.31057268722466963
133,2343,male,0,18-30,some,0.28735632183908044
134,1394,female,0,18-30,bachelors,0.4571984435797665
135,1683,male,0,18-30,bachelors,0.2761087267525036
136,668,female,0,18-30,bachelors,0.3234244946492271
137,2408,male,1,30-45,hs,0.18478260869565216
138,3034,male,0,45-60,hs,0.3669064748201439
139,136,female,0,30-45,hs,0.1821138211382114
140,408,female,0,18-30,bachelors,0.11588541666666667
141,2342,female,0,30-45,bachelors,0.28823529411764703
142,3508,male,0,18-30,bachelors,0.18562874251497005
143,1488,male,0,30-45,hs,0.23790849673202613
144,1050,male,0,18-30,professional,0.18379446640316205
145,2902,female,0,18-30,hs,0.17857142857142858
146,1191,female,0,30-45,bachelors,0.43272727272727274
147,403,female,0,30-45,professional,0.14381270903010032
148,1963,male,0,18-30,hs,0.07407407407407407
149,1766,male,0,30-45,bachelors,0.17086834733893558
150,671,male,0,18-30,bachelors,0.20714285714285716
151,3069,male,0,30-45,professional,0.10119047619047619
152,214,female,0,30-45,bachelors,0.21689895470383275
153,543,female,0,30-45,hs,0.12793427230046947
154,1786,male,0,30-45,bachelors,0.033707865168539325
155,834,female,0,30-45,hs,0.18016759776536312
156,324,male,0,30-45,bachelors,0.19607843137254902
157,200,male,0,45-60,hs,0.13086642599277978
158,2893,female,0,30-45,bachelors,0.057971014492753624
159,958,male,0,18-30,masters,0.20068027210884354
160,3085,male,0,30-45,masters,0.0625
161,933,male,0,30-45,hs,0.01939655172413793
162,160,male,0,30-45,bachelors,0.21507352941176472
163,186,female,0,30-45,bachelors,0.22107081174438686
164,3072,female,0,30-45,bachelors,0.7738095238095238
165,14,male,0,30-45,bachelors,0.09730668983492616
166,1034,male,0,30-45,professional,0.06134969325153374
167,4049,female,0,18-30,bachelors,
168,1060,male,0,18-30,bachelors,0.0234375
169,3517,female,0,30-45,professional,0.13917525773195877
170,1127,female,0,45-60,masters,0.21247113163972287
171,270,male,0,30-45,masters,0.15095729013254786
172,1772,female,0,18-30,masters,0.23217247097844113
173,2847,male,0,18-30,hs,0.010101010101010102
174,3669,female,0,30-45,bachelors,0.16455696202531644
175,791,female,0,18-30,bachelors,0.10574018126888217
176,1310,male,0,30-45,masters,0.1542483660130719
177,1630,male,0,18-30,hs,0.14136125654450263
178,1551,female,0,30-45,professional,0.31921331316187596
179,1399,male,0,18-30,hs,0.24571428571428572
180,646,male,0,18-30,hs,0.16342412451361868
181,991,male,0,18-30,professional,0.03591160220994475
182,62,male,0,45-60,bachelors,0.14054813773717498
183,960,female,0,30-45,hs,0.09840674789128398
184,867,male,0,18-30,hs,0.1309192200557103
185,505,female,0,30-45,professional,0.1370851370851371
186,1586,male,0,30-45,bachelors,0.11877394636015326
187,1830,female,0,18-30,hs,0.18181818181818182
188,1612,male,0,30-45,hs,0.030927835051546393
189,2259,male,0,30-45,hs,0.3154929577464789
190,1718,male,0,18-30,bachelors,0.1576923076923077
191,1169,male,1,30-45,professional,0.1540041067761807
192,2803,male,0,30-45,bachelors,0.2159090909090909
193,1840,male,0,45-60,hs,0.5781466113416321
194,925,female,1,18-30,bachelors,0.04357298474945534
195,616,male,0,30-45,bachelors,0.3018867924528302
196,498,female,0,18-30,masters,0.10190555095277548
197,159,male,0,30-45,hs,0.14087513340448238
198,103,male,0,18-30,hs,0.12428571428571429
199,1222,female,1,Under 18,hs,0.09266409266409266
200,1446,female,1,18-30,hs,0.33766233766233766
201,1177,male,0,30-45,masters,0.29239766081871343
202,818,female,1,45-60,hs,0.5
203,2748,female,1,30-45,hs,0.14285714285714285
204,1274,male,0,18-30,bachelors,0.04597701149425287
205,227,male,0,30-45,masters,0.34966216216216217
206,1416,male,0,30-45,bachelors,0.18710493046776233
207,525,female,0,18-30,hs,0.23847167325428195
208,306,male,0,30-45,bachelors,0.2806004618937644
209,2301,female,0,18-30,hs,0.125
210,796,male,0,Over 60,bachelors,0.33
211,2300,male,0,30-45,bachelors,0.05947955390334572
212,3005,female,0,18-30,professional,0.029239766081871343
213,1447,male,0,Under 18,hs,0.10451306413301663
214,1974,male,1,18-30,hs,0.0625
215,44,male,0,30-45,professional,0.33981337480559876
216,1100,female,0,18-30,bachelors,0.10888610763454318
217,2627,male,0,18-30,bachelors,0.022099447513812154
218,1102,female,0,30-45,hs,0.07507987220447285
219,128,male,0,18-30,hs,0.12
220,2139,male,0,30-45,bachelors,0.5128205128205128
221,1019,female,0,18-30,bachelors,0.13055555555555556
222,266,male,0,30-45,bachelors,0.124
223,1708,female,0,30-45,bachelors,0.11320754716981132
224,2218,male,0,18-30,bachelors,0.07608695652173914
225,110,female,0,30-45,masters,0.1764018691588785
226,1608,male,1,18-30,hs,0.2841648590021692
227,2572,male,0,18-30,bachelors,0.18726591760299627
228,2841,male,0,30-45,bachelors,0.19727891156462585
229,1732,female,0,18-30,bachelors,0.38721804511278196
230,605,male,0,18-30,bachelors,0.26725403817914833
