,worker_id,gender,english_first_language,age_group,education,ratio
0,85,female,0,18-30,bachelors,0.11704312114989733
1,1617,female,0,45-60,bachelors,0.10623556581986143
2,1394,female,0,,bachelors,0.3058823529411765
3,311,male,0,30-45,bachelors,0.18736383442265794
4,1980,male,0,45-60,masters,0.17061611374407584
5,1824,male,0,18-30,hs,0.09403669724770643
6,296,male,0,18-30,hs,0.1371308016877637
7,3937,male,0,30-45,professional,0.08333333333333333
8,1512,female,0,30-45,masters,0.15935334872979215
9,581,male,0,30-45,hs,0.22564102564102564
10,3980,female,0,30-45,bachelors,0.09090909090909091
11,5,male,0,18-30,professional,0.07724425887265135
12,2832,female,1,30-45,some,0.11475409836065574
13,178,male,0,30-45,masters,0.18421052631578946
14,1669,male,0,30-45,bachelors,0.12234042553191489
15,533,male,0,30-45,bachelors,0.2755905511811024
16,485,female,1,30-45,doctorate,0.12368972746331237
17,168,male,0,18-30,bachelors,0.1277056277056277
18,4060,male,0,30-45,hs,0.02857142857142857
19,1855,female,0,45-60,hs,0.056074766355140186
20,1226,male,1,18-30,bachelors,0.11777777777777777
21,469,male,0,30-45,bachelors,0.04421052631578947
22,947,male,0,18-30,bachelors,0.18266978922716628
23,50,male,0,30-45,hs,0.26834381551362685
24,3888,male,0,30-45,hs,0.09411764705882353
25,3852,female,0,18-30,professional,0.08747044917257683
26,1812,male,0,18-30,bachelors,0.09744779582366589
27,525,female,0,18-30,masters,0.11894273127753303
28,263,male,0,18-30,hs,0.12050739957716702
29,1826,female,0,18-30,masters,0.17590361445783131
30,19,male,0,30-45,bachelors,0.10602910602910603
31,39,male,0,45-60,hs,0.14935064935064934
32,79,male,0,30-45,professional,0.05063291139240506
33,3622,male,0,18-30,bachelors,0.12837837837837837
34,351,male,0,30-45,professional,0.14888888888888888
35,799,female,0,,masters,0.2984409799554566
36,144,female,1,18-30,bachelors,0.30094043887147337
37,176,male,0,45-60,hs,0.18958333333333333
38,13,male,0,18-30,hs,0.07344632768361582
39,1550,male,0,18-30,professional,0.1258741258741259
40,212,male,0,30-45,masters,0.24839400428265523
41,345,male,0,30-45,professional,0.10588235294117647
42,2738,male,1,18-30,bachelors,0.08878504672897196
43,544,male,0,18-30,hs,0.09730848861283643
44,98,female,0,30-45,hs,0.1656441717791411
45,126,female,0,45-60,bachelors,0.3925438596491228
46,1756,female,0,18-30,bachelors,0.12873563218390804
47,242,male,0,30-45,masters,0.19532908704883228
48,3788,male,0,45-60,professional,0.16822429906542055
49,1505,male,0,18-30,masters,0.2784090909090909
50,350,male,1,45-60,hs,0.189873417721519
51,3221,male,0,,hs,0.15207373271889402
52,48,male,0,30-45,bachelors,0.12205567451820129
53,1521,male,1,18-30,bachelors,0.10112359550561797
54,845,female,0,45-60,hs,0.2275711159737418
55,118,male,0,18-30,bachelors,0.11316872427983539
56,1773,male,0,18-30,bachelors,0.09487179487179487
57,444,male,0,18-30,masters,0.22083333333333333
58,1583,male,0,30-45,bachelors,0.12032085561497326
59,423,male,1,18-30,professional,0.3081761006289308
60,3471,female,0,30-45,hs,0.14049586776859505
61,3554,male,0,18-30,hs,0.2222222222222222
62,685,male,0,18-30,hs,0.12083333333333333
63,1268,female,0,18-30,bachelors,0.22162162162162163
64,201,male,0,30-45,hs,0.10251046025104603
65,1612,female,0,18-30,bachelors,0.1400437636761488
66,1266,male,0,18-30,professional,0.1917808219178082
67,67,male,0,30-45,professional,0.06762295081967214
68,3099,female,0,30-45,hs,0.11342592592592593
69,774,female,0,18-30,hs,0.1111111111111111
70,1898,male,0,18-30,professional,0.11827956989247312
71,3691,female,0,30-45,doctorate,0.12702078521939955
72,3369,female,0,30-45,professional,0.13953488372093023
73,1909,male,0,18-30,professional,0.2853881278538813
74,807,male,1,18-30,professional,0.11159737417943107
75,3421,male,0,30-45,bachelors,0.1691842900302115
76,105,female,0,30-45,hs,0.11228813559322035
77,80,male,0,18-30,bachelors,0.09414225941422594
78,446,male,0,45-60,bachelors,0.14161220043572983
79,209,female,0,30-45,bachelors,0.2678185745140389
80,1666,female,0,18-30,bachelors,0.10606060606060606
81,445,male,0,45-60,hs,0.19522776572668113
82,2009,male,0,30-45,hs,0.1336405529953917
83,1514,male,0,Under 18,hs,0.10068649885583524
84,517,male,0,45-60,hs,0.1368653421633554
85,2460,male,0,18-30,hs,0.09523809523809523
86,1290,male,0,18-30,bachelors,0.08714596949891068
87,114,female,0,45-60,professional,0.3034188034188034
88,1788,female,0,30-45,bachelors,0.11345646437994723
89,260,male,0,30-45,hs,0.1905781584582441
90,1242,male,0,18-30,professional,0.10666666666666667
91,12,male,1,30-45,bachelors,0.10947368421052632
92,73,male,0,30-45,professional,0.06418219461697723
93,1960,male,0,30-45,bachelors,0.15172413793103448
94,3530,female,0,30-45,bachelors,0.12910798122065728
95,1503,male,0,18-30,bachelors,0.1821561338289963
96,1022,male,0,18-30,doctorate,0.15283842794759825
97,238,male,0,45-60,masters,0.2077922077922078
98,1078,male,0,45-60,masters,0.3090909090909091
99,243,female,0,18-30,hs,0.20217391304347826
100,879,female,1,18-30,hs,0.13989637305699482
101,499,male,0,18-30,hs,0.12133891213389121
102,194,male,0,18-30,hs,0.06956521739130435
103,770,male,0,30-45,hs,0.10344827586206896
104,1815,female,0,30-45,bachelors,0.14918414918414918
105,449,male,0,18-30,bachelors,0.075
106,1305,male,0,18-30,hs,0.1872146118721461
107,285,female,0,30-45,professional,0.22061855670103092
108,2663,female,0,18-30,masters,0.056074766355140186
109,3571,female,1,18-30,masters,0.05841121495327103
110,2071,male,0,18-30,hs,0.16704805491990846
111,157,male,0,18-30,hs,0.09090909090909091
112,694,male,0,18-30,hs,0.11158798283261803
113,2055,male,0,18-30,hs,0.2014218009478673
114,467,male,0,18-30,some,0.17027863777089783
115,147,female,0,Under 18,hs,0.06378600823045268
116,409,male,0,18-30,bachelors,0.10675381263616558
117,86,female,0,18-30,professional,0.12526096033402923
118,511,male,0,18-30,bachelors,0.11038961038961038
119,3423,male,1,18-30,bachelors,0.25
120,2514,female,1,30-45,bachelors,0.2
121,2246,male,0,18-30,some,0.09389671361502347
122,477,female,1,30-45,hs,0.1014799154334038
123,2015,male,0,,hs,0.22045454545454546
124,597,male,0,45-60,hs,0.11279826464208242
125,1694,female,0,30-45,bachelors,0.1425287356321839
126,649,male,0,30-45,bachelors,0.21176470588235294
127,70,male,1,30-45,bachelors,0.24737945492662475
128,435,male,0,30-45,hs,0.1615720524017467
129,1816,male,1,30-45,bachelors,0.12903225806451613
130,287,female,0,18-30,masters,0.10897435897435898
131,447,male,0,18-30,hs,0.23126338329764454
132,18,male,0,18-30,hs,0.17634408602150536
133,2786,female,0,45-60,bachelors,0.1320754716981132
134,540,male,0,30-45,hs,0.09302325581395349
135,3756,female,1,30-45,bachelors,0.15639810426540285
136,2136,female,0,30-45,professional,0.2087378640776699
137,1648,male,0,18-30,bachelors,0.42572062084257206
138,619,male,0,18-30,professional,0.11187214611872145
139,442,male,0,18-30,bachelors,0.2732919254658385
140,3851,female,1,18-30,bachelors,0.26976744186046514
141,2177,male,0,30-45,hs,0.17162471395881007
142,1936,male,0,18-30,hs,0.06451612903225806
143,3026,male,0,18-30,doctorate,0.07906976744186046
144,125,male,0,30-45,hs,0.20588235294117646
145,74,male,1,18-30,bachelors,0.09033613445378151
146,64,male,1,30-45,bachelors,0.1696035242290749
147,716,male,0,18-30,hs,0.06292134831460675
148,1633,male,0,30-45,bachelors,0.0944700460829493
149,974,male,1,18-30,bachelors,0.19008264462809918
150,699,female,0,18-30,bachelors,0.08571428571428572
151,1783,male,1,18-30,hs,0.09953703703703703
152,2930,female,0,45-60,professional,0.1925754060324826
153,1854,female,0,18-30,professional,0.3695652173913043
154,362,male,0,30-45,bachelors,0.11300639658848614
155,1379,female,0,30-45,bachelors,0.09887640449438202
156,557,male,0,18-30,hs,0.1288888888888889
157,40,male,0,30-45,hs,0.16592920353982302
158,1900,female,1,18-30,masters,0.06046511627906977
159,1840,female,0,30-45,bachelors,0.11556603773584906
160,538,male,0,30-45,bachelors,0.08836206896551724
161,1570,male,0,30-45,professional,0.15384615384615385
162,3091,female,0,45-60,hs,0.22325581395348837
163,69,male,0,30-45,hs,0.16071428571428573
164,1382,male,0,18-30,bachelors,0.0898876404494382
165,1236,male,0,18-30,hs,0.08163265306122448
166,1181,male,0,45-60,some,0.20227272727272727
167,3576,male,1,18-30,bachelors,0.08665105386416862
168,81,male,0,18-30,hs,0.1012987012987013
169,136,female,0,30-45,hs,0.16233766233766234
