,worker_id,gender,english_first_language,age_group,education
0,833,female,0,45-60,bachelors
1,1072,male,0,30-45,bachelors
2,872,male,0,18-30,hs
3,2116,male,0,30-45,professional
4,453,male,0,30-45,hs
5,164,female,0,30-45,bachelors
6,301,male,0,18-30,professional
7,77,female,1,30-45,some
8,865,female,1,30-45,doctorate
9,715,male,0,18-30,bachelors
10,1852,male,0,30-45,hs
11,344,male,0,30-45,hs
12,916,male,0,30-45,hs
13,407,female,0,18-30,masters
14,2912,male,1,18-30,professional
15,10,male,0,30-45,bachelors
16,177,male,0,45-60,hs
17,1704,male,0,30-45,professional
18,272,male,0,18-30,bachelors
19,1343,female,1,45-60,bachelors
20,3038,female,0,,masters
21,156,male,0,45-60,hs
22,1042,male,0,18-30,hs
23,2364,male,0,18-30,professional
24,461,male,0,30-45,masters
25,26,male,0,30-45,professional
26,3630,male,0,30-45,masters
27,168,female,0,30-45,hs
28,606,female,0,45-60,bachelors
29,150,male,0,30-45,masters
30,3422,male,0,45-60,professional
31,1689,male,0,18-30,masters
32,1228,male,0,18-30,bachelors
33,1213,female,0,45-60,hs
34,1243,female,0,18-30,bachelors
35,1678,male,0,30-45,hs
36,11,male,0,30-45,professional
37,81,male,0,18-30,professional
38,163,female,0,30-45,hs
39,1607,male,0,18-30,bachelors
40,2688,male,0,45-60,bachelors
41,2231,male,0,30-45,hs
42,1890,male,0,18-30,hs
43,217,male,0,18-30,bachelors
44,1152,male,0,30-45,hs
45,1475,male,0,18-30,bachelors
46,382,male,0,30-45,bachelors
47,3493,male,0,18-30,bachelors
48,452,male,0,45-60,masters
49,3618,male,0,45-60,bachelors
50,3773,male,0,45-60,masters
51,1062,male,0,30-45,hs
52,1117,female,0,30-45,professional
53,2699,female,0,18-30,masters
54,365,male,0,18-30,hs
55,445,male,0,18-30,hs
56,876,male,0,18-30,some
57,1110,female,0,Under 18,hs
58,3629,male,0,18-30,bachelors
59,1093,male,0,18-30,some
60,208,female,1,30-45,hs
61,1991,female,0,30-45,bachelors
62,4026,male,0,30-45,hs
63,1622,female,0,45-60,bachelors
64,51,male,0,30-45,hs
65,3173,female,0,30-45,professional
66,877,male,0,18-30,bachelors
67,2319,male,0,30-45,hs
68,1223,male,0,30-45,hs
69,475,male,1,18-30,bachelors
70,840,female,0,18-30,professional
71,3677,female,0,18-30,bachelors
72,993,female,0,18-30,professional
73,1006,male,0,30-45,bachelors
74,34,female,0,30-45,bachelors
75,151,male,0,30-45,hs
76,1556,female,0,30-45,bachelors
77,1667,male,0,30-45,professional
78,1951,male,0,18-30,bachelors
79,89,male,1,18-30,bachelors
80,578,female,0,30-45,hs
81,3821,female,0,18-30,bachelors
82,1743,male,0,18-30,bachelors
83,294,male,0,18-30,some
84,12,male,0,30-45,professional
85,261,male,0,18-30,masters
86,328,male,0,18-30,bachelors
87,384,male,0,18-30,masters
88,2334,male,1,30-45,bachelors
89,2674,female,1,45-60,hs
90,2982,female,0,18-30,bachelors
91,3221,male,0,18-30,bachelors
92,180,male,0,18-30,bachelors
93,311,male,0,18-30,bachelors
94,2474,female,0,18-30,bachelors
95,1135,male,0,30-45,bachelors
96,1762,female,0,30-45,bachelors
97,480,female,0,30-45,masters
98,2569,male,1,30-45,masters
99,1056,female,0,30-45,bachelors
100,587,female,0,18-30,professional
101,2944,female,0,18-30,masters
102,2493,male,0,18-30,masters
103,1377,male,0,45-60,hs
104,647,male,0,18-30,hs
105,1889,male,0,18-30,bachelors
106,656,male,0,45-60,hs
107,483,male,0,30-45,professional
108,1156,male,0,30-45,hs
109,1599,male,0,18-30,hs
110,273,male,0,18-30,bachelors
111,2876,female,0,30-45,bachelors
112,45,male,0,18-30,bachelors
113,957,female,0,30-45,bachelors
114,2869,male,0,30-45,masters
115,672,female,1,30-45,bachelors
116,3188,male,0,30-45,bachelors
117,663,female,0,30-45,bachelors
118,2281,male,0,30-45,hs
119,680,male,0,30-45,bachelors
120,140,male,0,18-30,bachelors
121,2939,male,1,45-60,bachelors
122,1007,male,0,18-30,professional
123,907,male,0,30-45,professional
124,5,male,0,18-30,bachelors
125,1068,male,0,18-30,masters
126,1424,male,0,45-60,professional
127,3759,female,0,30-45,masters
128,1012,male,1,30-45,hs
129,836,female,0,30-45,masters
130,1295,female,0,30-45,hs
131,122,male,0,18-30,bachelors
132,1086,male,0,30-45,bachelors
133,2343,male,0,18-30,some
134,1394,female,0,18-30,bachelors
135,1683,male,0,18-30,bachelors
136,668,female,0,18-30,bachelors
137,2408,male,1,30-45,hs
138,3034,male,0,45-60,hs
139,136,female,0,30-45,hs
140,408,female,0,18-30,bachelors
141,2342,female,0,30-45,bachelors
142,3508,male,0,18-30,bachelors
143,1488,male,0,30-45,hs
144,1050,male,0,18-30,professional
145,2902,female,0,18-30,hs
146,1191,female,0,30-45,bachelors
147,403,female,0,30-45,professional
148,1963,male,0,18-30,hs
149,1766,male,0,30-45,bachelors
150,671,male,0,18-30,bachelors
151,3069,male,0,30-45,professional
152,214,female,0,30-45,bachelors
153,543,female,0,30-45,hs
154,1786,male,0,30-45,bachelors
155,834,female,0,30-45,hs
156,324,male,0,30-45,bachelors
157,200,male,0,45-60,hs
158,2893,female,0,30-45,bachelors
159,958,male,0,18-30,masters
160,3085,male,0,30-45,masters
161,933,male,0,30-45,hs
162,160,male,0,30-45,bachelors
163,186,female,0,30-45,bachelors
164,3072,female,0,30-45,bachelors
165,14,male,0,30-45,bachelors
166,1034,male,0,30-45,professional
167,4049,female,0,18-30,bachelors
168,1060,male,0,18-30,bachelors
169,3517,female,0,30-45,professional
170,1127,female,0,45-60,masters
171,270,male,0,30-45,masters
172,1772,female,0,18-30,masters
173,2847,male,0,18-30,hs
174,3669,female,0,30-45,bachelors
175,791,female,0,18-30,bachelors
176,1310,male,0,30-45,masters
177,1630,male,0,18-30,hs
178,1551,female,0,30-45,professional
179,1399,male,0,18-30,hs
180,646,male,0,18-30,hs
181,991,male,0,18-30,professional
182,62,male,0,45-60,bachelors
183,960,female,0,30-45,hs
184,867,male,0,18-30,hs
185,505,female,0,30-45,professional
186,1586,male,0,30-45,bachelors
187,1830,female,0,18-30,hs
188,1612,male,0,30-45,hs
189,2259,male,0,30-45,hs
190,1718,male,0,18-30,bachelors
191,1169,male,1,30-45,professional
192,2803,male,0,30-45,bachelors
193,1840,male,0,45-60,hs
194,925,female,1,18-30,bachelors
195,616,male,0,30-45,bachelors
196,498,female,0,18-30,masters
197,159,male,0,30-45,hs
198,103,male,0,18-30,hs
199,1222,female,1,Under 18,hs
200,1446,female,1,18-30,hs
201,1177,male,0,30-45,masters
202,818,female,1,45-60,hs
203,2748,female,1,30-45,hs
204,1274,male,0,18-30,bachelors
205,227,male,0,30-45,masters
206,1416,male,0,30-45,bachelors
207,525,female,0,18-30,hs
208,306,male,0,30-45,bachelors
209,2301,female,0,18-30,hs
210,796,male,0,Over 60,bachelors
211,2300,male,0,30-45,bachelors
212,3005,female,0,18-30,professional
213,1447,male,0,Under 18,hs
214,1974,male,1,18-30,hs
215,44,male,0,30-45,professional
216,1100,female,0,18-30,bachelors
217,2627,male,0,18-30,bachelors
218,1102,female,0,30-45,hs
219,128,male,0,18-30,hs
220,2139,male,0,30-45,bachelors
221,1019,female,0,18-30,bachelors
222,266,male,0,30-45,bachelors
223,1708,female,0,30-45,bachelors
224,2218,male,0,18-30,bachelors
225,110,female,0,30-45,masters
226,1608,male,1,18-30,hs
227,2572,male,0,18-30,bachelors
228,2841,male,0,30-45,bachelors
229,1732,female,0,18-30,bachelors
230,605,male,0,18-30,bachelors
231,1270,male,0,18-30,hs
232,345,male,0,Over 60,professional
233,3525,male,0,30-45,bachelors
234,2522,male,0,30-45,masters
235,362,male,1,30-45,professional
236,3230,female,0,45-60,hs
237,477,male,0,45-60,masters
238,2943,male,0,Under 18,hs
239,1111,female,0,18-30,bachelors
240,1808,male,0,30-45,professional
241,2894,female,0,45-60,hs
242,1298,male,1,45-60,bachelors
243,1092,male,1,30-45,hs
244,1262,male,0,30-45,bachelors
245,533,male,0,18-30,some
246,790,male,0,18-30,bachelors
247,166,male,0,45-60,professional
248,562,male,0,18-30,masters
249,2220,male,0,45-60,masters
250,941,male,0,30-45,professional
251,964,male,0,45-60,hs
252,2693,female,1,45-60,bachelors
253,1073,female,0,30-45,hs
254,1662,male,0,30-45,masters
255,922,male,0,30-45,bachelors
256,1350,male,0,30-45,bachelors
257,627,male,0,18-30,hs
258,3728,male,0,45-60,masters
259,1780,female,0,18-30,bachelors
260,1802,male,0,30-45,hs
261,1806,male,0,18-30,hs
262,230,female,0,18-30,masters
263,2905,male,1,18-30,masters
264,1973,male,0,30-45,hs
265,1710,female,0,18-30,hs
266,134,male,0,18-30,bachelors
267,2399,male,0,30-45,professional
268,262,male,0,18-30,hs
269,54,female,0,45-60,some
270,934,male,1,Over 60,bachelors
271,139,male,0,30-45,professional
272,4034,male,0,18-30,masters
273,1025,male,0,18-30,bachelors
274,569,male,0,18-30,bachelors
275,321,male,0,18-30,bachelors
276,652,male,0,18-30,bachelors
277,2452,male,0,45-60,masters
278,127,male,0,30-45,bachelors
279,2063,male,0,30-45,masters
280,1253,male,0,30-45,masters
281,2002,male,0,30-45,professional
282,1657,female,1,30-45,bachelors
283,285,male,1,45-60,masters
284,1579,male,0,30-45,bachelors
285,33,male,0,30-45,professional
286,1968,male,1,18-30,hs
287,972,female,0,18-30,bachelors
288,918,male,0,30-45,professional
289,1878,male,0,18-30,hs
290,1040,male,0,18-30,bachelors
291,1037,male,0,45-60,masters
292,2955,male,1,45-60,hs
293,1129,male,0,30-45,bachelors
294,40,male,0,30-45,masters
295,238,male,0,18-30,some
296,1415,male,0,30-45,bachelors
297,550,female,0,30-45,professional
298,928,male,1,18-30,hs
299,1459,male,0,18-30,hs
300,2706,male,0,30-45,bachelors
301,851,female,0,18-30,bachelors
