,worker_id,gender,english_first_language,age_group,education
0,85,female,0,18-30,bachelors
1,1617,female,0,45-60,bachelors
2,1394,female,0,,bachelors
3,311,male,0,30-45,bachelors
4,1980,male,0,45-60,masters
5,1824,male,0,18-30,hs
6,296,male,0,18-30,hs
7,3937,male,0,30-45,professional
8,1512,female,0,30-45,masters
9,581,male,0,30-45,hs
10,3980,female,0,30-45,bachelors
11,5,male,0,18-30,professional
12,2832,female,1,30-45,some
13,178,male,0,30-45,masters
14,1669,male,0,30-45,bachelors
15,533,male,0,30-45,bachelors
16,485,female,1,30-45,doctorate
17,168,male,0,18-30,bachelors
18,4060,male,0,30-45,hs
19,1855,female,0,45-60,hs
20,1226,male,1,18-30,bachelors
21,469,male,0,30-45,bachelors
22,947,male,0,18-30,bachelors
23,50,male,0,30-45,hs
24,3888,male,0,30-45,hs
25,3852,female,0,18-30,professional
26,1812,male,0,18-30,bachelors
27,525,female,0,18-30,masters
28,263,male,0,18-30,hs
29,1826,female,0,18-30,masters
30,19,male,0,30-45,bachelors
31,39,male,0,45-60,hs
32,79,male,0,30-45,professional
33,3622,male,0,18-30,bachelors
34,351,male,0,30-45,professional
35,799,female,0,,masters
36,144,female,1,18-30,bachelors
37,176,male,0,45-60,hs
38,13,male,0,18-30,hs
39,1550,male,0,18-30,professional
40,212,male,0,30-45,masters
41,345,male,0,30-45,professional
42,2738,male,1,18-30,bachelors
43,544,male,0,18-30,hs
44,98,female,0,30-45,hs
45,126,female,0,45-60,bachelors
46,1756,female,0,18-30,bachelors
47,242,male,0,30-45,masters
48,3788,male,0,45-60,professional
49,1505,male,0,18-30,masters
50,350,male,1,45-60,hs
51,3221,male,0,,hs
52,48,male,0,30-45,bachelors
53,1521,male,1,18-30,bachelors
54,845,female,0,45-60,hs
55,118,male,0,18-30,bachelors
56,1773,male,0,18-30,bachelors
57,444,male,0,18-30,masters
58,1583,male,0,30-45,bachelors
59,423,male,1,18-30,professional
60,3471,female,0,30-45,hs
61,3554,male,0,18-30,hs
62,685,male,0,18-30,hs
63,1268,female,0,18-30,bachelors
64,201,male,0,30-45,hs
65,1612,female,0,18-30,bachelors
66,1266,male,0,18-30,professional
67,67,male,0,30-45,professional
68,3099,female,0,30-45,hs
69,774,female,0,18-30,hs
70,1898,male,0,18-30,professional
71,3691,female,0,30-45,doctorate
72,3369,female,0,30-45,professional
73,1909,male,0,18-30,professional
74,807,male,1,18-30,professional
75,3421,male,0,30-45,bachelors
76,105,female,0,30-45,hs
77,80,male,0,18-30,bachelors
78,446,male,0,45-60,bachelors
79,209,female,0,30-45,bachelors
80,1666,female,0,18-30,bachelors
81,445,male,0,45-60,hs
82,2009,male,0,30-45,hs
83,1514,male,0,Under 18,hs
84,517,male,0,45-60,hs
85,2460,male,0,18-30,hs
86,1290,male,0,18-30,bachelors
87,114,female,0,45-60,professional
88,1788,female,0,30-45,bachelors
89,260,male,0,30-45,hs
90,1242,male,0,18-30,professional
91,12,male,1,30-45,bachelors
92,73,male,0,30-45,professional
93,1960,male,0,30-45,bachelors
94,3530,female,0,30-45,bachelors
95,1503,male,0,18-30,bachelors
96,1022,male,0,18-30,doctorate
97,238,male,0,45-60,masters
98,1078,male,0,45-60,masters
99,243,female,0,18-30,hs
100,879,female,1,18-30,hs
101,499,male,0,18-30,hs
102,194,male,0,18-30,hs
103,770,male,0,30-45,hs
104,1815,female,0,30-45,bachelors
105,449,male,0,18-30,bachelors
106,1305,male,0,18-30,hs
107,285,female,0,30-45,professional
108,2663,female,0,18-30,masters
109,3571,female,1,18-30,masters
110,2071,male,0,18-30,hs
111,157,male,0,18-30,hs
112,694,male,0,18-30,hs
113,2055,male,0,18-30,hs
114,467,male,0,18-30,some
115,147,female,0,Under 18,hs
116,409,male,0,18-30,bachelors
117,86,female,0,18-30,professional
118,511,male,0,18-30,bachelors
119,3423,male,1,18-30,bachelors
120,2514,female,1,30-45,bachelors
121,2246,male,0,18-30,some
122,477,female,1,30-45,hs
123,2015,male,0,,hs
124,597,male,0,45-60,hs
125,1694,female,0,30-45,bachelors
126,649,male,0,30-45,bachelors
127,70,male,1,30-45,bachelors
128,435,male,0,30-45,hs
129,1816,male,1,30-45,bachelors
130,287,female,0,18-30,masters
131,447,male,0,18-30,hs
132,18,male,0,18-30,hs
133,2786,female,0,45-60,bachelors
134,540,male,0,30-45,hs
135,3756,female,1,30-45,bachelors
136,2136,female,0,30-45,professional
137,1648,male,0,18-30,bachelors
138,619,male,0,18-30,professional
139,442,male,0,18-30,bachelors
140,3851,female,1,18-30,bachelors
141,2177,male,0,30-45,hs
142,1936,male,0,18-30,hs
143,3026,male,0,18-30,doctorate
144,125,male,0,30-45,hs
145,74,male,1,18-30,bachelors
146,64,male,1,30-45,bachelors
147,716,male,0,18-30,hs
148,1633,male,0,30-45,bachelors
149,974,male,1,18-30,bachelors
150,699,female,0,18-30,bachelors
151,1783,male,1,18-30,hs
152,2930,female,0,45-60,professional
153,1854,female,0,18-30,professional
154,362,male,0,30-45,bachelors
155,1379,female,0,30-45,bachelors
156,557,male,0,18-30,hs
157,40,male,0,30-45,hs
158,1900,female,1,18-30,masters
159,1840,female,0,30-45,bachelors
160,538,male,0,30-45,bachelors
161,1570,male,0,30-45,professional
162,3091,female,0,45-60,hs
163,69,male,0,30-45,hs
164,1382,male,0,18-30,bachelors
165,1236,male,0,18-30,hs
166,1181,male,0,45-60,some
167,3576,male,1,18-30,bachelors
168,81,male,0,18-30,hs
169,136,female,0,30-45,hs
170,751,female,0,18-30,bachelors
171,305,male,0,18-30,bachelors
172,643,male,0,18-30,some
173,44,male,0,30-45,professional
174,1698,female,0,30-45,bachelors
175,1748,male,1,30-45,masters
176,1957,male,0,18-30,masters
177,210,male,0,18-30,bachelors
178,325,male,0,30-45,masters
179,2475,male,0,18-30,bachelors
180,742,male,0,18-30,masters
181,3579,female,0,45-60,professional
182,3892,male,1,30-45,bachelors
183,2936,female,1,45-60,hs
184,2711,female,0,18-30,bachelors
185,186,male,0,18-30,bachelors
186,642,male,0,18-30,bachelors
187,1338,male,0,18-30,bachelors
188,645,male,0,18-30,hs
189,632,male,0,18-30,bachelors
190,639,female,0,18-30,masters
191,550,female,0,30-45,masters
192,883,male,1,30-45,bachelors
193,123,female,0,18-30,bachelors
194,1430,female,1,18-30,bachelors
195,1829,male,0,30-45,bachelors
196,636,female,0,30-45,bachelors
197,2156,female,0,30-45,masters
198,628,male,0,18-30,professional
199,994,male,1,30-45,masters
200,328,female,0,30-45,bachelors
201,1546,female,0,18-30,professional
202,625,male,0,18-30,masters
203,1798,male,0,18-30,hs
204,425,male,0,45-60,hs
205,323,female,0,30-45,bachelors
206,2693,male,0,18-30,hs
207,1588,male,0,30-45,professional
208,2354,male,1,30-45,hs
209,230,male,0,30-45,hs
210,2450,male,0,18-30,hs
211,302,male,0,45-60,hs
212,2321,male,0,18-30,bachelors
213,691,male,0,18-30,masters
214,2688,female,0,18-30,bachelors
215,134,male,0,18-30,bachelors
216,1397,female,0,30-45,bachelors
217,2476,male,0,18-30,bachelors
218,662,male,0,18-30,bachelors
219,646,female,0,30-45,bachelors
220,4141,female,0,30-45,hs
221,2901,male,0,30-45,masters
222,934,male,0,30-45,professional
223,2141,female,1,30-45,bachelors
224,265,female,0,18-30,masters
225,347,male,0,30-45,bachelors
226,2391,female,0,30-45,bachelors
227,276,male,0,30-45,hs
228,1032,male,0,30-45,hs
229,2432,female,0,18-30,some
230,2162,male,0,18-30,hs
231,1113,male,0,18-30,masters
232,891,female,0,18-30,bachelors
233,800,male,0,30-45,bachelors
234,651,male,0,18-30,bachelors
235,492,male,1,45-60,bachelors
236,1179,female,0,30-45,some
237,2014,male,0,18-30,bachelors
238,3156,female,1,18-30,masters
239,903,male,0,18-30,professional
240,200,male,0,30-45,professional
241,1995,male,0,30-45,masters
242,926,male,0,18-30,bachelors
243,515,male,1,18-30,hs
244,101,male,0,18-30,masters
245,494,male,0,30-45,bachelors
246,466,male,0,18-30,hs
247,3291,male,0,45-60,professional
248,634,female,0,30-45,masters
249,1073,male,1,30-45,hs
250,121,male,0,18-30,bachelors
251,1603,male,0,18-30,masters
252,2124,female,0,30-45,masters
253,3160,male,0,45-60,bachelors
254,2268,male,0,30-45,masters
255,626,male,0,18-30,hs
256,1641,male,0,18-30,hs
257,652,male,0,30-45,bachelors
258,997,male,0,18-30,some
259,3132,female,1,30-45,bachelors
260,1513,female,0,18-30,bachelors
261,719,male,1,30-45,hs
262,2207,male,0,45-60,hs
263,191,female,0,30-45,hs
264,929,female,0,18-30,bachelors
265,374,male,0,18-30,doctorate
266,3285,male,1,30-45,bachelors
267,2889,female,0,30-45,bachelors
268,653,male,0,18-30,bachelors
269,1998,male,0,30-45,hs
270,1646,male,0,30-45,masters
271,158,male,0,18-30,bachelors
272,1814,male,0,30-45,bachelors
273,43,male,0,18-30,bachelors
274,545,male,0,18-30,masters
275,2235,female,0,30-45,hs
276,1528,male,0,18-30,professional
277,1885,female,0,18-30,hs
278,2178,male,1,18-30,bachelors
279,3125,female,0,30-45,bachelors
280,234,female,0,30-45,professional
281,644,male,0,18-30,hs
282,181,male,0,30-45,bachelors
283,560,male,1,18-30,bachelors
284,1487,female,0,30-45,bachelors
285,3676,female,0,45-60,hs
286,4076,female,1,30-45,masters
287,839,male,0,18-30,bachelors
288,4021,male,0,30-45,hs
289,3440,male,1,18-30,bachelors
290,4184,female,0,18-30,hs
291,605,female,0,30-45,some
292,1893,male,0,30-45,professional
293,468,female,0,30-45,bachelors
294,629,female,0,30-45,hs
295,1451,male,0,30-45,bachelors
296,1233,male,0,30-45,bachelors
297,203,male,0,18-30,hs
298,588,male,0,18-30,bachelors
299,21,male,0,18-30,hs
300,1411,female,0,45-60,professional
301,3016,male,0,18-30,masters
302,650,male,0,18-30,bachelors
303,490,male,0,45-60,hs
304,1493,male,0,30-45,bachelors
305,1081,male,0,30-45,professional
306,3283,female,0,30-45,hs
307,2392,male,1,30-45,professional
308,1161,male,0,18-30,masters
309,60,male,0,18-30,bachelors
310,1283,female,0,30-45,professional
311,190,female,0,18-30,bachelors
312,1527,male,0,18-30,hs
313,2606,male,0,30-45,hs
314,2803,male,0,30-45,professional
315,1985,female,0,30-45,bachelors
316,718,female,0,30-45,hs
317,1354,female,0,30-45,bachelors
318,2279,male,0,Under 18,bachelors
319,3034,male,0,18-30,bachelors
320,2674,female,0,18-30,bachelors
321,1160,female,0,30-45,hs
322,2335,male,1,30-45,masters
323,3848,male,1,30-45,bachelors
324,1064,male,0,18-30,hs
325,2463,male,0,18-30,bachelors
326,156,male,0,30-45,bachelors
327,1044,male,1,30-45,bachelors
328,912,male,0,30-45,professional
329,2516,female,1,18-30,masters
330,301,male,0,18-30,bachelors
331,3619,male,0,18-30,hs
332,410,female,0,18-30,bachelors
333,132,male,0,18-30,bachelors
334,1971,male,0,18-30,professional
335,1310,male,0,30-45,hs
336,3555,female,1,45-60,bachelors
337,2579,male,0,30-45,masters
338,420,male,1,18-30,masters
339,1600,female,0,30-45,professional
340,2204,female,0,18-30,professional
341,1039,male,0,45-60,bachelors
342,1415,female,0,45-60,masters
343,536,male,0,30-45,masters
344,84,female,0,18-30,masters
345,164,female,0,30-45,bachelors
346,4201,female,0,18-30,bachelors
347,2073,female,0,30-45,bachelors
348,665,female,0,30-45,professional
349,2097,male,0,30-45,masters
350,3415,female,0,30-45,professional
351,2031,male,0,18-30,hs
352,575,male,0,18-30,hs
353,2546,male,0,18-30,professional
354,833,male,0,18-30,hs
355,2383,female,0,45-60,bachelors
356,292,male,0,45-60,bachelors
357,1143,female,0,30-45,hs
358,2208,male,0,18-30,hs
359,1589,female,0,30-45,professional
360,236,male,0,30-45,bachelors
361,1598,female,0,45-60,bachelors
362,2205,male,0,30-45,professional
363,1615,male,1,18-30,professional
364,816,female,0,18-30,hs
365,346,male,0,30-45,hs
366,1790,male,0,30-45,hs
367,45,female,1,18-30,bachelors
368,608,male,0,18-30,masters
369,2394,male,0,18-30,professional
370,772,male,0,18-30,bachelors
371,1055,male,0,18-30,professional
372,873,male,1,30-45,professional
373,3233,male,0,30-45,bachelors
374,2399,male,0,18-30,bachelors
375,272,female,0,30-45,hs
376,2503,male,0,30-45,bachelors
377,2485,male,1,30-45,bachelors
378,1845,male,0,45-60,hs
379,3100,female,1,18-30,bachelors
380,2304,male,0,18-30,professional
381,184,female,0,30-45,masters
382,1497,female,0,18-30,masters
383,563,male,0,30-45,bachelors
384,531,female,0,18-30,hs
385,2050,female,1,18-30,bachelors
386,1973,male,0,18-30,hs
387,2381,male,1,45-60,masters
388,761,male,0,30-45,bachelors
389,2130,male,0,45-60,doctorate
390,2389,female,0,18-30,bachelors
391,598,female,0,18-30,masters
392,429,male,0,30-45,hs
393,2950,female,1,18-30,bachelors
394,320,male,0,18-30,professional
395,4010,male,0,,masters
396,2059,male,0,18-30,bachelors
397,1931,female,1,45-60,hs
398,3535,female,0,18-30,bachelors
399,1404,male,0,18-30,masters
400,1925,male,0,18-30,hs
401,3859,male,0,18-30,hs
402,2183,male,0,30-45,hs
403,1544,male,0,18-30,bachelors
404,2068,male,0,18-30,hs
405,939,female,0,18-30,professional
406,1946,female,1,30-45,hs
407,3508,male,0,30-45,masters
408,1554,male,0,30-45,bachelors
409,895,female,0,30-45,professional
410,983,male,0,18-30,professional
411,433,female,0,30-45,bachelors
412,749,male,0,18-30,bachelors
413,3138,male,0,30-45,masters
414,3098,female,0,18-30,hs
415,689,male,0,45-60,professional
416,2855,male,0,30-45,bachelors
417,859,female,0,18-30,hs
418,294,female,0,30-45,bachelors
419,925,male,0,Under 18,hs
420,3333,female,1,18-30,bachelors
421,2336,male,1,18-30,hs
422,1041,male,0,18-30,bachelors
423,3215,male,0,30-45,bachelors
424,1884,male,0,45-60,masters
425,1827,male,0,Over 60,bachelors
426,726,male,0,30-45,bachelors
427,2861,female,1,30-45,bachelors
428,1954,male,0,18-30,bachelors
429,956,male,0,30-45,some
430,1031,male,0,45-60,bachelors
431,141,male,0,18-30,bachelors
432,267,female,0,18-30,professional
433,1728,male,0,30-45,bachelors
434,2442,female,0,18-30,bachelors
435,1754,female,0,18-30,professional
436,379,male,0,18-30,hs
437,2853,male,0,30-45,bachelors
438,3145,male,1,18-30,hs
439,3476,female,0,30-45,professional
440,115,male,0,30-45,professional
441,1638,male,0,30-45,bachelors
442,3846,male,0,30-45,hs
443,582,female,0,30-45,bachelors
444,488,male,0,18-30,masters
445,868,female,0,18-30,bachelors
446,339,female,0,18-30,bachelors
447,1834,male,0,30-45,professional
448,213,male,0,18-30,bachelors
449,1767,male,0,Under 18,hs
450,11,female,0,30-45,hs
451,295,female,0,45-60,professional
452,91,male,0,18-30,hs
453,2939,male,0,30-45,bachelors
454,9,female,0,18-30,bachelors
455,1895,male,0,30-45,bachelors
456,448,male,0,18-30,bachelors
