,State,County,Urban,lapop1,lapop10,LAPOP1_10,POP2010,lalowi1,lalowi10,lakids1,lakids10,laseniors1,laseniors10,lawhite1,lawhite10,lablack1,lablack10,laasian1,laasian10,lahisp1,lahisp10,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractHispanic,la1_ratio,la10_ratio,la_ratio,la_percentage,pop_ratio_poverty,pop_ratio_kid,pop_ratio_senior,pop_ratio_white,pop_ratio_black,pop_ratio_asian,pop_ratio_hisp,la_ratio_poverty,la_ratio_kid,la_ratio_senior,la_ratio_white,la_ratio_black,la_ratio_asian,la_ratio_hisp,PovertyRate,MedianFamilyIncome
0,Alabama,Autauga,0,25404.999972999998,7027.788424900001,7027.788424900001,25405,8960.172048100001,2895.9950774999998,6735.0000107,1756.89086426,2871.0000002000006,892.65277199,19932.999993999998,4393.0081622,4756.9999892999995,2469.1363819999997,102.00000071599999,7.278660227,389.99999956999994,107.65573676599999,9226,6735,2871,19933,4757,102,390,0.999999998937217,0.2766301289076954,0.2766301289076954,27.66301289076954,0.36315685888604604,0.2651052942334186,0.11300925014760874,0.7846093288722692,0.18724660499901594,0.0040149576854949815,0.015351308797480812,0.3655611407857759,0.26183042823138336,0.11604468681557133,0.7500436859685826,0.2228034260467067,0.0033693883980100738,0.015344216791678102,13.34,59340.6
1,Alabama,Autauga,1,11064.8729235,0.0,11064.8729235,29166,3939.6474198999995,0.0,2986.5037935,0.0,1374.64152616,0.0,8659.1923664,0.0,1888.1623094599997,0.0,86.45714203,0.0,400.18784773,0.0,9466,7878,3675,22922,4886,372,920,0.3793757431084139,0.0,0.3793757431084139,37.937574310841384,0.3245559898511966,0.27010903106356715,0.12600288006583008,0.7859151066310087,0.1675238291160941,0.012754577247479942,0.03154357813892889,0.35604994717407246,0.26990854880557635,0.12423473235200776,0.7825839868444651,0.17064473514646955,0.007813658830765152,0.0361674147093064,14.228571428571428,62327.42857142857
2,Alabama,Baldwin,0,88162.35251440002,2913.544414217,2913.544414217,99521,30019.66549263,1135.9973696299999,20548.7215367,629.2174307150001,13812.168081599999,511.57383541900015,77479.62428400002,2419.6729982520005,6478.854497419999,393.186999498,466.640035217,7.278226446,3503.977468407,20.732590420000005,34391,23339,15274,86990,7355,561,4552,0.885866827246511,0.029275674623617125,0.029275674623617125,2.9275674623617123,0.3455652575838265,0.23451331879703782,0.15347514594909617,0.8740868761366948,0.07390400016077009,0.005637001235920057,0.04573909024226043,0.34208461198772516,0.2325306659786588,0.15727258693093724,0.8772825739490117,0.07545400845521325,0.005203553054596269,0.03870079985695423,14.18235294117647,58807.705882352944
3,Alabama,Baldwin,1,43486.806228199996,0.0,43486.806228199996,82744,14323.85104645,0.0,9920.1272918,0.0,7821.6949384,0.0,37089.4302437,0.0,4230.7109577559995,0.0,326.26628775300003,0.0,1896.6103655059999,0.0,28886,18559,15294,69163,9750,787,3440,0.5255584239123078,0.0,0.5255584239123078,52.555842391230776,0.3491008411486029,0.22429420864352703,0.1848351542105772,0.8358672532147347,0.11783331721937543,0.00951126365657933,0.0415740114086822,0.32938383589920606,0.22811809264040803,0.17986363260054372,0.8528892659780687,0.09728723087998355,0.00750265002311035,0.043613466474254445,14.57142857142857,62920.142857142855
4,Alabama,Barbour,0,18015.085509899996,5501.79881866,5501.79881866,20819,9202.4069326,2732.6609581600005,3461.2572788299994,882.142114884,2389.1246042600005,735.238253724,9227.0777881,2487.93342726,7754.0636201,2552.96624696,61.843413383,11.079885717000002,1006.1821966330001,453.37968731399997,9337,4137,2936,10188,9524,66,1070,0.8653194442528458,0.2642681597896152,0.2642681597896152,26.42681597896152,0.4484845573754743,0.19871271434747106,0.14102502521734953,0.48936068014794176,0.4574667371151352,0.0031701810845861955,0.051395360007685284,0.5075105921350943,0.18469280764540624,0.13285615621239544,0.49815320140571284,0.43828211777793474,0.003100891175938581,0.062064424162449124,25.728571428571428,42197.57142857143
5,Alabama,Barbour,1,1182.1768721,0.0,1182.1768721,6638,518.7016155,0.0,291.4354207,0.0,170.91857007,0.0,697.0585157,0.0,442.6244786,0.0,3.4334185880000003,0.0,49.35380673,0.0,3147,1878,973,2992,3351,41,317,0.17809232782464599,0.0,0.17809232782464599,17.809232782464598,0.4740885808978608,0.28291654112684544,0.14658029526965954,0.45073817414884,0.5048207291352818,0.0061765592045796925,0.04775534799638445,0.4387681976712899,0.24652438021587988,0.14457952452274164,0.5896397841566267,0.37441476740593727,0.002904318862118264,0.04174824249634379,20.35,46362.0
6,Alabama,Bibb,0,18918.377818,295.614425913,295.614425913,22915,8937.631914,164.90329525500005,4252.4319055,73.58466185699999,2286.8919776000002,56.362019429,14775.827537000001,279.63942686300004,3775.8722545,10.92484189,16.574242541,0.477899202,304.34605681,2.9442569130000003,10123,5201,2906,17381,5047,22,406,0.8255892567313987,0.012900476801789221,0.012900476801789221,1.290047680178922,0.4417630373118045,0.22696923412611827,0.1268164957451451,0.758498799912721,0.22024874536329914,0.0009600698232598735,0.017717652192886756,0.4737451277018541,0.22514928248331542,0.12195560231743842,0.7835678693288,0.19708538695750014,0.0008874856160307925,0.015993048702325235,16.025,43362.5
7,Alabama,Blount,0,48341.80191,1955.51879179,1955.51879179,50272,18893.595421,896.3013416900001,12054.862014799999,476.13646202,6629.848982700001,264.590520009,45272.205467,1875.9429528900002,506.10866459399995,20.544441729000003,78.02305415800001,4.428994396999999,3325.91564861,49.993955367,19923,12552,6944,46898,583,92,3685,0.9616049075031827,0.0388987665457909,0.0388987665457909,3.88987665457909,0.3963041056651814,0.2496817313812858,0.13812858052196053,0.9328851050286442,0.011596912794398472,0.00183004455760662,0.07330124124761299,0.3934582694776764,0.24913848892897472,0.1370736931214636,0.9373888660874947,0.010470798423746997,0.001639293055863822,0.06711907427420596,17.75,52343.375
8,Alabama,Blount,1,3900.420369,0.0,3900.420369,7050,1674.5991390000002,0.0,875.6479819,0.0,671.3731259,0.0,3491.2716270000005,0.0,46.01036674,0.0,6.000000189,0.0,501.69228110000006,0.0,2942,1554,1495,6170,178,25,941,0.5532511161702127,0.0,0.5532511161702127,55.32511161702127,0.4173049645390071,0.2204255319148936,0.21205673758865248,0.875177304964539,0.02524822695035461,0.0035460992907801418,0.13347517730496453,0.429338117580731,0.22450092530013654,0.17212840216813052,0.8951013728541014,0.011796258450931088,0.0015382957787543027,0.12862518232326461,19.2,50477.0
9,Alabama,Bullock,0,3811.999988,2521.198553,2521.198553,3812,1969.6087742,1306.9703451999999,866.9999964,546.0638899,650.9999983,470.5469645,1155.9999991,882.8953996,2570.999994,1599.2493928000001,0.999999964,0.968748205,52.00000018,20.427605153000002,2538,867,651,1156,2571,1,52,0.9999999968520462,0.6613847200944387,0.6613847200944387,66.13847200944387,0.6657922350472193,0.22743966421825812,0.17077649527806926,0.30325288562434416,0.6744491080797481,0.00026232948583420777,0.013641133263378805,0.517365608892254,0.2231200991334909,0.17709013155663836,0.32193770422647483,0.6584744438063245,0.0003108615901198541,0.01143618108039983,19.25,42410.5
